"","RE78","TREAT","MARR","NODEGREE","BLACK","HISPANIC","EDUC","AGE","RE74","RE75","U74","U75","TYPE"
"386",1773.4,1,1,1,1,0,9,27,0,934.4,1,0,"EXP"
"387",0,1,0,0,1,0,12,22,5605.9,936.2,0,0,"EXP"
"388",11233.3,1,1,1,1,0,10,23,0,936.4,1,0,"EXP"
"389",559.4,1,0,0,0,1,12,23,9385.7,1117.4,0,0,"EXP"
"390",1085.4,1,0,1,1,0,11,20,3637.5,1220.8,0,0,"EXP"
"391",5445.2,1,0,1,1,0,9,17,1716.5,1253.4,0,0,"EXP"
"392",60307.9,1,0,1,1,0,11,28,0,1284.1,1,0,"EXP"
"393",1460.4,1,1,1,1,0,11,26,0,1392.9,1,0,"EXP"
"394",6943.3,1,0,1,1,0,11,20,16318.6,1485,0,0,"EXP"
"395",4032.7,1,1,1,1,0,11,24,824.4,1666.1,0,0,"EXP"
"396",10363.3,1,0,1,1,0,9,31,0,1698.6,1,0,"EXP"
"397",4232.3,1,1,1,0,0,8,23,0,1713.2,1,0,"EXP"
"398",11141.4,1,0,1,1,0,10,18,2143.4,1784.3,0,0,"EXP"
"399",0,1,0,0,1,0,12,29,10881.9,1817.3,0,0,"EXP"
"400",13385.9,1,0,1,0,0,11,26,0,2226.3,1,0,"EXP"
"401",4849.6,1,0,1,1,0,9,24,9154.7,2288.7,0,0,"EXP"
"402",0,1,0,0,1,0,12,25,14426.8,2409.3,0,0,"EXP"
"403",1660.5,1,0,1,1,0,10,24,4250.4,2421.9,0,0,"EXP"
"404",0,1,0,1,1,0,8,46,3165.7,2594.7,0,0,"EXP"
"405",2484.5,1,0,0,0,0,12,31,0,2611.2,1,0,"EXP"
"406",4146.6,1,0,1,1,0,11,19,2305,2615.3,0,0,"EXP"
"407",9970.7,1,0,1,1,0,8,19,0,2657.1,1,0,"EXP"
"408",0,1,0,1,1,0,11,27,2206.9,2666.3,0,0,"EXP"
"409",26372.3,1,1,1,1,0,11,26,0,2754.6,1,0,"EXP"
"410",5615.2,1,0,1,1,0,10,20,5005.7,2777.4,0,0,"EXP"
"411",3196.6,1,0,1,1,0,10,28,0,2836.5,1,0,"EXP"
"412",6167.7,1,0,0,1,0,12,24,13765.8,2842.8,0,0,"EXP"
"413",7535.9,1,0,1,1,0,8,19,2636.4,2937.3,0,0,"EXP"
"414",8484.2,1,0,0,1,0,12,23,6269.3,3040,0,0,"EXP"
"415",1294.4,1,1,1,1,0,9,42,0,3058.5,1,0,"EXP"
"416",0,1,0,0,1,0,13,25,12362.9,3090.7,0,0,"EXP"
"417",5010.3,1,0,1,1,0,9,18,0,3287.4,1,0,"EXP"
"418",9371,1,0,0,1,0,12,21,6473.7,3332.4,0,0,"EXP"
"419",0,1,0,1,1,0,10,27,1001.1,3550.1,0,0,"EXP"
"420",4279.6,1,0,1,1,0,8,21,989.3,3695.9,0,0,"EXP"
"421",3462.6,1,0,1,1,0,9,22,2192.9,3837,0,0,"EXP"
"422",7382.5,1,0,1,1,0,4,31,8517.6,4023.2,0,0,"EXP"
"423",0,1,1,1,1,0,10,24,11703.2,4078.2,0,0,"EXP"
"424",0,1,0,1,1,0,10,29,0,4399,1,0,"EXP"
"425",10976.5,1,0,0,1,0,12,29,9748.4,4878.9,0,0,"EXP"
"426",13829.6,1,0,1,0,0,10,19,0,5324.1,1,0,"EXP"
"427",6788.5,1,1,1,0,1,11,19,5424.5,5463.8,0,0,"EXP"
"428",9558.5,1,0,1,1,0,9,31,10717,5517.8,0,0,"EXP"
"429",13228.3,1,1,1,1,0,10,22,1468.3,5588.7,0,0,"EXP"
"430",743.7,1,0,1,1,0,9,21,6416.5,5749.3,0,0,"EXP"
"431",5522.8,1,0,1,1,0,10,17,1291.5,5793.9,0,0,"EXP"
"432",1424.9,1,1,0,1,0,12,26,8408.8,5794.8,0,0,"EXP"
"433",1358.6,1,0,1,0,1,9,20,12260.8,5875,0,0,"EXP"
"434",0,1,0,1,1,0,10,19,4121.9,6056.8,0,0,"EXP"
"435",672.9,1,0,1,1,0,10,26,25929.7,6789,0,0,"EXP"
"436",0,1,0,1,1,0,11,28,1929,6871.9,0,0,"EXP"
"437",10092.8,1,1,0,0,1,12,22,492.2,7055.7,0,0,"EXP"
"438",6281.4,1,0,1,1,0,11,33,0,7867.9,1,0,"EXP"
"439",12590.7,1,0,0,0,0,12,22,6760,8455.5,0,0,"EXP"
"440",5112,1,0,1,0,1,10,29,0,8853.7,1,0,"EXP"
"441",15952.6,1,1,0,1,0,12,33,20279.9,10941.4,0,0,"EXP"
"442",36646.9,1,1,0,1,0,14,25,35040.1,11536.6,0,0,"EXP"
"443",12804,1,1,1,1,0,9,35,13602.4,13830.6,0,0,"EXP"
"444",3786.6,1,1,1,1,0,8,35,13732.1,17976.2,0,0,"EXP"
"445",4181.9,1,1,1,1,0,11,33,14660.7,25142.2,0,0,"EXP"
